mechanism_id,round,gross_bps,net_bps_at_14,verdict_source,kill_reason,trigger_type,holding_period,universe,tier_central,tier_stress,maker_admissible,n_independent,operational_status,cost_realistic_rt_central,net_bps_central,net_bps_stress15x_central,cost_realistic_rt_stress_tier,net_bps_stress_tier,net_bps_stress15x_stress_tier,maker_urgency_penalty_rt_if_posted_p99,maker_urgency_penalty_rt_if_posted_p999,w5_verdict,delta_net_bps
A5 baseline LONG_CASCADE repeat>=2 fade (unconditional),r3,23.87,9.87,replication of round-2 headline,,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,4660.0,,11.3,12.57,6.92,12.7,11.17,4.82,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1 baseline LIQ_CASCADE_REPEAT_V1,r3,23.87,9.87,baseline,,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,4660.0,,11.3,12.57,6.92,12.7,11.17,4.82,1.95,10.39,UNCHANGED_ALIVE,2.7
A5 LONG_CASCADE repeat>=2 fade x OI (low-OI),r3,23.3,9.3,DEAD (as an interaction),no regime lift vs baseline,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,2341.0,,11.3,12.0,6.35,12.7,10.6,4.25,1.95,10.39,UNCHANGED_ALIVE,2.7
SHORT_COVERING_CONTINUATION [discovery],validation,23.2,9.2,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1582.0,,11.3,11.9,6.25,12.7,10.5,4.15,1.95,10.39,UNCHANGED_ALIVE,2.7
W8-17b spillover x DVOL stress (low-DVOL / calm),r3,23.0,9.0,WEAK/PROMISING-WITH-CAVEAT,decay (2025 and 2026 negative),EVENT_SHOCK,fwd_4h,spillover + DVOL BTC,T2_LIQUID_ALT,T3_MID_ALT,False,1219.0,,11.3,11.7,6.05,12.7,10.3,3.95,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-021 OI_SHOCK down x cumint_7d_tercile,r3,22.3,8.3,PROMISING,same family as W7-002/012,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,4588.0,,11.3,11.0,5.35,12.7,9.6,3.25,1.95,10.39,UNCHANGED_ALIVE,2.7
w1_c04 PREMIUM_EXTREME_THEN_CASCADE (FOMO),r3,22.26,8.26,WEAK,cost at stress,EVENT_SHOCK,fwd_4h,premium_dataset,T2_LIQUID_ALT,T3_MID_ALT,False,2232.0,,11.3,10.96,5.31,12.7,9.56,3.21,1.95,10.39,UNCHANGED_ALIVE,2.7
FUNDING_BASIS_DISAGREEMENT [already live V2],validation,21.7,7.7,ALREADY_LIVE,,SLOW_STATE,14d,BTC/ETH perp + quarterly,T3_MID_ALT,T4_WIDE_ALT,True,,,11.7,10.0,4.15,15.3,6.4,-1.25,1.95,10.39,UNCHANGED_ALIVE,2.3
A7 LONG_CASCADE repeat>=2 fade x funding (extreme),r3,21.1,7.1,DEAD,"worse than baseline, hypothesis reversed",EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,394.0,,11.3,9.8,4.15,12.7,8.4,2.05,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-002 OI_SHOCK down x count_24h,r3,20.9,6.9,PROMISING,low distinctness,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,693.0,,11.3,9.6,3.95,12.7,8.2,1.85,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1.2 ENABLE by market-wide cascade breadth,r3,20.64,6.64,WEAK,weak OOS significance (t=0.39),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1002.0,,11.3,9.34,3.69,12.7,7.94,1.59,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T3.3 ENABLE M7 by BTC 20d rvol regime,r3,20.47,6.47,DATA_LIMITED,n too small (17),SLOW_STATE,14d,BTC+ETH quarterly,T3_MID_ALT,T4_WIDE_ALT,True,17.0,,11.7,8.77,2.92,15.3,5.17,-2.48,1.95,10.39,UNCHANGED_ALIVE,2.3
D-RVBTC-Z-A_mom-7D-HEDGED,r3,19.9,5.9,DEAD,cost (fails stress),SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,8.2,2.35,15.3,4.6,-3.05,1.95,10.39,UNCHANGED_ALIVE,2.3
D-OIPERDVOL-G5_mom-7D,r3,19.4,5.4,DEAD,cost (fails stress),SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,242.0,,11.7,7.7,1.85,15.3,4.1,-3.55,1.95,10.39,UNCHANGED_ALIVE,2.3
D-CROWDCOMPOSITE-K_fade-7D,r3,19.3,5.3,DEAD,cost (fails stress),SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,242.0,,11.7,7.6,1.75,15.3,4.0,-3.65,1.95,10.39,UNCHANGED_ALIVE,2.3
D-RVBTC-NAIVE-RANK-7D,r3,19.1,5.1,DEAD,collapses to plain momentum,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,7.4,1.55,15.3,3.8,-3.85,1.95,10.39,UNCHANGED_ALIVE,2.3
D-RVOL-VS-SECTOR-I3_mom-7D,r3,19.1,5.1,DEAD,cost,SLOW_STATE,7d,sector-tagged universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,7.4,1.55,15.3,3.8,-3.85,1.95,10.39,UNCHANGED_ALIVE,2.3
W5-T1.10 REDUCE_RISK inverse-size by |ls_ratio_z|,r3,18.8,4.8,DEAD,negative delta vs flat sizing,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,4585.0,,11.3,7.5,1.85,12.7,6.1,-0.25,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T3.2 RISK by |disagreement| z-score,r3,18.54,4.54,DEAD,negative delta,SLOW_STATE,14d,BTC+ETH quarterly,T3_MID_ALT,T4_WIDE_ALT,True,49.0,,11.7,6.84,0.99,15.3,3.24,-4.41,1.95,10.39,UNCHANGED_ALIVE,2.3
CROSS_SECTIONAL_MOMENTUM_CVD CONFIRMED leg [validation],validation,18.5,4.5,REJECTED,"fragile (single date flips sign), ETA ~659 years",SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,333.0,,11.7,6.8,0.95,15.3,3.2,-4.45,1.95,10.39,UNCHANGED_ALIVE,2.3
W7-016 CVD_SHOCK down x time_since_prev,r3,17.6,3.6,PROMISING,cost (thin margin),EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,16798.0,,11.3,6.3,0.65,12.7,4.9,-1.45,1.95,10.39,UNCHANGED_ALIVE,2.7
XSEC_MOM_FUNDING_UNCROWDED_7D,r3,17.0,3.0,DEAD,cost / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,258.0,,11.7,5.3,-0.55,15.3,1.7,-5.95,1.95,10.39,UNCHANGED_ALIVE,2.3
B7 xsec momentum 7d/7d x breadth (low breadth),r3,16.8,2.8,"WEAK, hypothesis REJECTED IN DIRECTION","hypothesis reversed, t<1",SLOW_STATE,7d,48-symbol daily panel,T3_MID_ALT,T4_WIDE_ALT,True,112.0,,11.7,5.1,-0.75,15.3,1.5,-6.15,1.95,10.39,UNCHANGED_ALIVE,2.3
W7-008 BASIS_SHOCK down x count_24h,r3,16.6,2.6,WEAK,cost (net ~breakeven),SLOW_STATE,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,True,9299.0,,9.4,7.2,2.5,11.7,4.9,-0.95,1.95,10.39,UNCHANGED_ALIVE,4.6
SHORT_COVERING_CONTINUATION [validated],validation,16.53,2.53,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1582.0,,11.3,5.23,-0.42,12.7,3.83,-2.52,1.95,10.39,UNCHANGED_ALIVE,2.7
w1_e02 CASCADE_THEN_PREMIUM_DISLOCATION_CHAIN,r3,16.49,2.49,WEAK,cost at stress,EVENT_SHOCK,fwd_4h,49 symbols + premium,T2_LIQUID_ALT,T3_MID_ALT,False,4178.0,,11.3,5.19,-0.46,12.7,3.79,-2.56,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-007 BASIS_SHOCK up x count_24h,r3,16.1,2.1,WEAK,cost (net ~breakeven despite t=6.51),SLOW_STATE,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,True,9324.0,,9.4,6.7,2.0,11.7,4.4,-1.45,1.95,10.39,UNCHANGED_ALIVE,4.6
D-RVBTC-Z-A_mom-7D,r3,15.7,1.7,DEAD,cost (fails stress),SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,4.0,-1.85,15.3,0.4,-7.25,1.95,10.39,UNCHANGED_ALIVE,2.3
D-VOLOFVOLRANK-I2_a-7D,r3,15.3,1.3,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,3.6,-2.25,15.3,0.0,-7.65,1.95,10.39,UNCHANGED_ALIVE,2.3
D-PRICEOI-DIVERGENCE-R_fade-7D,r3,15.3,1.3,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,241.0,,11.7,3.6,-2.25,15.3,0.0,-7.65,1.95,10.39,UNCHANGED_ALIVE,2.3
w1_d03 FUNDING_EXTREME_THEN_CASCADE_DIRECT_CHAIN,r3,15.23,1.23,WEAK,"thin margin (cost), large N",EVENT_SHOCK,fwd_4h,49 symbols + funding,T2_LIQUID_ALT,T3_MID_ALT,False,5349.0,,11.3,3.93,-1.72,12.7,2.53,-3.82,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1.7 ENABLE by dist_low_24h,r3,15.16,1.16,DEAD,sign flips OOS; not distinct,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1219.0,,11.3,3.86,-1.79,12.7,2.46,-3.89,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-012 OI_SHOCK down x time_since_prev,r3,15.0,1.0,PROMISING,cost (net ~breakeven),EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,4590.0,,11.3,3.7,-1.95,12.7,2.3,-4.05,1.95,10.39,UNCHANGED_ALIVE,2.7
D-RVOLRANK-I_b-7D,r3,14.7,0.7,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,3.0,-2.85,15.3,-0.6,-8.25,1.95,10.39,UNCHANGED_ALIVE,2.3
w1_e01b CASCADE_THEN_VOLUME_ABSORPTION (clean absorption),r3,14.69,0.69,WEAK,cost,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,6342.0,,11.3,3.39,-2.26,12.7,1.99,-4.36,1.95,10.39,UNCHANGED_ALIVE,2.7
A4 SHORT_SQUEEZE repeat>=2 momentum x OI (high-OI),r3,14.4,0.4,PROMISING (contrast arm),cost (edge nearly vanishes),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1212.0,,11.3,3.1,-2.55,12.7,1.7,-4.65,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-023 BASIS_SHOCK up x cumint_7d_tercile,r3,14.4,0.4,WEAK,cost (net ~0),SLOW_STATE,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,True,9963.0,,9.4,5.0,0.3,11.7,2.7,-3.15,1.95,10.39,UNCHANGED_ALIVE,4.6
A8 pooled-direction repeat fade x session (ASIA),r3,14.1,0.1,DEAD,cost / convention confound,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,16310.0,,11.3,2.8,-2.85,12.7,1.4,-4.95,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-028 OI_SHOCK both x is_alternating_step,r3,10.7,-3.3,WEAK,cost,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,16377.0,,11.3,-0.6,-6.25,12.7,-2.0,-8.35,1.95,10.39,UNCHANGED_DEAD,2.7
W5-T1.12 ENABLE by |taker_z| extremity,r3,10.47,-3.53,DEAD,consistent negative delta,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1111.0,,11.3,-0.83,-6.48,12.7,-2.23,-8.58,1.95,10.39,UNCHANGED_DEAD,2.7
W7-001 OI_SHOCK up x count_24h,r3,10.2,-3.8,WEAK,cost,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,1538.0,,11.3,-1.1,-6.75,12.7,-2.5,-8.85,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_MOM_BASIS_FILTER_7D,r3,9.4,-4.6,DEAD,cost / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,333.0,,11.7,-2.3,-8.15,15.3,-5.9,-13.55,1.95,10.39,UNCHANGED_DEAD,2.3
D-FUNDRANK-F_mom-7D,r3,9.3,-4.7,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,-2.4,-8.25,15.3,-6.0,-13.65,1.95,10.39,UNCHANGED_DEAD,2.3
D-RVSECTOR-C_rev-1D,r3,9.2,-4.8,DEAD,cost,SLOW_STATE,1d,sector-tagged universe,T3_MID_ALT,T4_WIDE_ALT,True,2275.0,,11.7,-2.5,-8.35,15.3,-6.1,-13.75,1.95,10.39,UNCHANGED_DEAD,2.3
W7-025 OI_SHOCK both x run_length_same_sign,r3,9.2,-4.8,WEAK,cost (direction pooling dilutes),EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,17302.0,,11.3,-2.1,-7.75,12.7,-3.5,-9.85,1.95,10.39,UNCHANGED_DEAD,2.7
w1_c06 SPILLOVER_CATCHUP_MOMENTUM,r3,8.87,-5.13,WEAK,cost,EVENT_SHOCK,fwd_4h,spillover_dataset,T2_LIQUID_ALT,T3_MID_ALT,False,5162.0,,11.3,-2.43,-8.08,12.7,-3.83,-10.18,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_MOM_LOWLEV_FILTER_7D,r3,8.5,-5.5,DEAD,cost,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,243.0,,11.7,-3.2,-9.05,15.3,-6.8,-14.45,1.95,10.39,UNCHANGED_DEAD,2.3
W8-1a stablecoin supply flow x cascade continuation,r3,8.4,-5.6,DEAD,cost / no year pattern,EVENT_SHOCK,fwd_4h,49 symbols + stablecoin supply,T2_LIQUID_ALT,T3_MID_ALT,False,4816.0,,11.3,-2.9,-8.55,12.7,-4.3,-10.65,1.95,10.39,UNCHANGED_DEAD,2.7
A3 onset fade x session (ASIA),r3,8.2,-5.8,WEAK,cost (best bucket still sub-cost),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,18349.0,,11.3,-3.1,-8.75,12.7,-4.5,-10.85,1.95,10.39,UNCHANGED_DEAD,2.7
CROWD_WASHOUT_NO_CASCADE [validated],validation,7.65,-6.35,REJECTED,validation gate,SLOW_STATE,1d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,1050.0,,11.7,-4.05,-9.9,15.3,-7.65,-15.3,1.95,10.39,UNCHANGED_DEAD,2.3
LIQ_CASCADE_FAR_FROM_LOW [validated],validation,7.24,-6.76,REJECTED,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1620.0,,11.3,-4.06,-9.71,12.7,-5.46,-11.81,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_MOM_3D_LS,r3,7.2,-6.8,DEAD,cost,SLOW_STATE,3d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,784.0,,11.7,-4.5,-10.35,15.3,-8.1,-15.75,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_REV_3D_LS,r3,7.2,-6.8,DEAD,cost,SLOW_STATE,3d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,784.0,,11.7,-4.5,-10.35,15.3,-8.1,-15.75,1.95,10.39,UNCHANGED_DEAD,2.3
D-OICHG-VS-SECTOR-G3_fade-7D,r3,7.0,-7.0,DEAD,cost,SLOW_STATE,7d,sector-tagged universe,T3_MID_ALT,T4_WIDE_ALT,True,242.0,,11.7,-4.7,-10.55,15.3,-8.3,-15.95,1.95,10.39,UNCHANGED_DEAD,2.3
W5-T1.3 SELECT_ASSET by vol_24h,r3,6.83,-7.17,DEAD,consistent negative delta,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,748.0,,11.3,-4.47,-10.12,12.7,-5.87,-12.22,1.95,10.39,UNCHANGED_DEAD,2.7
B2 idiosyncratic-vol premium x trend (choppy),r3,6.6,-7.4,DEAD,noise-level base signal,SLOW_STATE,7d,48-symbol daily panel,T3_MID_ALT,T4_WIDE_ALT,True,112.0,,11.7,-5.1,-10.95,15.3,-8.7,-16.35,1.95,10.39,UNCHANGED_DEAD,2.3
XSEC_REV_2D_LS,r3,6.5,-7.5,DEAD,cost,SLOW_STATE,2d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,1177.0,,11.7,-5.2,-11.05,15.3,-8.8,-16.45,1.95,10.39,UNCHANGED_DEAD,2.3
D-RVETH-Z-B_mom-7D,r3,5.8,-8.2,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,-5.9,-11.75,15.3,-9.5,-17.15,1.95,10.39,UNCHANGED_DEAD,2.3
W7-026 CVD_SHOCK both x run_length_same_sign,r3,5.7,-8.3,WEAK,cost (direction pooling dilutes),EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,30655.0,,11.3,-5.6,-11.25,12.7,-7.0,-13.35,1.95,10.39,UNCHANGED_DEAD,2.7
W7-029 CVD_SHOCK both x is_alternating_step,r3,5.4,-8.6,WEAK,cost,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,30164.0,,11.3,-5.9,-11.55,12.7,-7.3,-13.65,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_MOM_7D_LS_REPCHK,r3,5.1,-8.9,WEAK,cost / anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,-6.6,-12.45,15.3,-10.2,-17.85,1.95,10.39,UNCHANGED_DEAD,2.3
D-TOPTRADER_LSR-mom-7D,r3,5.0,-9.0,DEAD,cost,SLOW_STATE,7d,vision metrics top-trader LSR,T3_MID_ALT,T4_WIDE_ALT,True,196.0,,11.7,-6.7,-12.55,15.3,-10.3,-17.95,1.95,10.39,UNCHANGED_DEAD,2.3
w1_b03 baseline cascades no preceding volume shock,r3,3.95,-10.05,comparison arm,comparison arm,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,18069.0,,11.3,-7.35,-13.0,12.7,-8.75,-15.1,1.95,10.39,UNCHANGED_DEAD,2.7
D-FUNDRANKCHG-F4_fade-7D,r3,3.8,-10.2,DEAD,cost,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,323.0,,11.7,-7.9,-13.75,15.3,-11.5,-19.15,1.95,10.39,UNCHANGED_DEAD,2.3
W5-T1.9 ENABLE-gate rescue of DEAD onset sleeve,r3,3.4,-10.6,DEAD (clean),no gate flips onset positive,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,13135.0,,11.3,-7.9,-13.55,12.7,-9.3,-15.65,1.95,10.39,UNCHANGED_DEAD,2.7
W7-011 OI_SHOCK up x time_since_prev,r3,3.3,-10.7,DEAD,"flat, hot ~ cold",EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,6996.0,,11.3,-8.0,-13.65,12.7,-9.4,-15.75,1.95,10.39,UNCHANGED_DEAD,2.7
W8-8a spillover x stablecoin flow (expansion),r3,3.2,-10.8,DEAD/mixed,cost / not significant,EVENT_SHOCK,fwd_4h,spillover + stablecoin supply,T2_LIQUID_ALT,T3_MID_ALT,False,1353.0,,11.3,-8.1,-13.75,12.7,-9.5,-15.85,1.95,10.39,UNCHANGED_DEAD,2.7
W8-2a cross-venue funding divergence x cascade continuation,r3,3.0,-11.0,DEAD,cost / unstable,EVENT_SHOCK,fwd_4h,49 symbols + funding,T2_LIQUID_ALT,T3_MID_ALT,False,1139.0,,11.3,-8.3,-13.95,12.7,-9.7,-16.05,1.95,10.39,UNCHANGED_DEAD,2.7
D-CURVESHAPE-ETH-MOM-14D,r3,2.4,-11.6,DEAD,cost,SLOW_STATE,14d,ETHUSDT quarterly curve,T1_MAJOR,T2_LIQUID_ALT,True,78.0,,8.6,-6.2,-10.5,9.4,-7.0,-11.7,1.95,10.39,UNCHANGED_DEAD,5.4
W5-T4.2 ENABLE liq-cascade-repeat by VOL_FORECAST_LAYER_V1,r3,2.33,-11.67,DEAD,opposite sign of T1.1,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,917.0,,11.3,-8.97,-14.62,12.7,-10.37,-16.72,1.95,10.39,UNCHANGED_DEAD,2.7
A1 onset fade x market-wide cascade density (high),r3,2.3,-11.7,DEAD,robust-null,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,18349.0,,11.3,-9.0,-14.65,12.7,-10.4,-16.75,1.95,10.39,UNCHANGED_DEAD,2.7
D-BASIS-VS-SECTOR-J1_mom-7D,r3,1.9,-12.1,DEAD,cost,SLOW_STATE,7d,sector-tagged universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,-9.8,-15.65,15.3,-13.4,-21.05,1.95,10.39,UNCHANGED_DEAD,2.3
MICROSTRUCTURE_ALL_ROUND3 [aggregate],validation,1.63,-12.37,DATA_ACCUMULATION,cost (0 PROMISING of 31 mechanisms),MICROSTRUCTURE,1s,market_physics_v3 + microstructure_reduced,T3_MID_ALT,T4_WIDE_ALT,False,,,12.7,-11.07,-17.42,15.8,-14.17,-22.07,1.95,10.39,UNCHANGED_DEAD,1.3
W8-4b fear/greed x cascade continuation (mid),r3,1.4,-12.6,DEAD,no monotonic pattern,EVENT_SHOCK,fwd_4h,49 symbols + fear_greed,T2_LIQUID_ALT,T3_MID_ALT,False,5112.0,,11.3,-9.9,-15.55,12.7,-11.3,-17.65,1.95,10.39,UNCHANGED_DEAD,2.7
w1_e01a CASCADE_THEN_VOLUME_ABSORPTION (distress persists),r3,1.2,-12.8,DEAD,cost,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,4461.0,,11.3,-10.1,-15.75,12.7,-11.5,-17.85,1.95,10.39,UNCHANGED_DEAD,2.7
R3_BBO_IMBALANCE_L1,r3,1.18,-12.82,DATA_LIMITED,cost; single calendar day,MICROSTRUCTURE,1s,BTC/ETH/SOL 3 venues 1 day,T3_MID_ALT,T4_WIDE_ALT,False,107414.0,,12.7,-11.52,-17.87,15.8,-14.62,-22.52,1.95,10.39,UNCHANGED_DEAD,1.3
R1_MICROPRICE_OFFSET_L1,r3,1.17,-12.83,DATA_LIMITED,cost; single calendar day,MICROSTRUCTURE,1s,BTC/ETH/SOL 3 venues 1 day,T3_MID_ALT,T4_WIDE_ALT,False,107414.0,,12.7,-11.53,-17.88,15.8,-14.63,-22.53,1.95,10.39,UNCHANGED_DEAD,1.3
E3 large-trade impact x trade-size extremity (>=p99.9),r3,0.96,-13.04,DATA_LIMITED/WEAK,"cost (sub-3bps), thin bucket",MICROSTRUCTURE,30s,BTCUSDT binance 5 days,T1_MAJOR,T2_LIQUID_ALT,False,74.0,,10.1,-9.14,-14.19,11.3,-10.34,-15.99,1.95,10.39,UNCHANGED_DEAD,3.9
E1 large-trade 30s impact-continuation x session (ASIA),r3,0.81,-13.19,DATA_LIMITED,"cost (sub-3bps maker), 5 days only",MICROSTRUCTURE,30s,BTCUSDT binance 5 days,T1_MAJOR,T2_LIQUID_ALT,False,249.0,,10.1,-9.29,-14.34,11.3,-10.49,-16.14,1.95,10.39,UNCHANGED_DEAD,3.9
R5_AGGRESSIVE_FLOW,r3,0.68,-13.32,DATA_LIMITED,single day; sign flips on HL,MICROSTRUCTURE,1s,BTC/ETH/SOL 3 venues 1 day,T3_MID_ALT,T4_WIDE_ALT,False,69403.0,,12.7,-12.02,-18.37,15.8,-15.12,-23.02,1.95,10.39,UNCHANGED_DEAD,1.3
w1_c01 IGNITION_ESCALATION_CHAIN (escalates),r3,0.59,-13.41,DEAD,cost / no edge,EVENT_SHOCK,fwd_4h,ignition+liq_cascade,T2_LIQUID_ALT,T3_MID_ALT,False,1805.0,,11.3,-10.71,-16.36,12.7,-12.11,-18.46,1.95,10.39,UNCHANGED_DEAD,2.7
XSEC_REV_1D_LS,r3,0.5,-13.5,DEAD,cost (structural loser),SLOW_STATE,1d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,2355.0,,11.7,-11.2,-17.05,15.3,-14.8,-22.45,1.95,10.39,UNCHANGED_DEAD,2.3
E2_IMBALANCE_ALIGNED_FILTER,r3,0.46,-13.54,WEAK,cost (delta +0.067bps too small),MICROSTRUCTURE,30s,BTCUSDT 2 venues,T1_MAJOR,T2_LIQUID_ALT,False,757.0,,10.1,-9.64,-14.69,11.3,-10.84,-16.49,1.95,10.39,UNCHANGED_DEAD,3.9
X2_CROSS_VENUE_LEAD_LATENCY_lag200ms,r3,0.22,-13.78,WEAK,multiple-testing false positive,MICROSTRUCTURE,1s,binance->okx / ->hyperliquid,T3_MID_ALT,T4_WIDE_ALT,False,80619.0,,12.7,-12.48,-18.83,15.8,-15.58,-23.48,1.95,10.39,UNCHANGED_DEAD,1.3
D-RVBTC-Z-A_rev-1D,r3,0.1,-13.9,DEAD,no edge,SLOW_STATE,1d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,2276.0,,11.7,-11.6,-17.45,15.3,-15.2,-22.85,1.95,10.39,UNCHANGED_DEAD,2.3
B1_DEPTH5_IMBALANCE,r3,0.09,-13.91,WEAK,cost (needs 44x gross),MICROSTRUCTURE,1s,BTCUSDT 3 venues 2 days,T1_MAJOR,T2_LIQUID_ALT,False,51882.0,,10.1,-10.01,-15.06,11.3,-11.21,-16.86,1.95,10.39,UNCHANGED_DEAD,3.9
B2_FLOW_DEPTH5_DELTA,r3,0.04,-13.96,WEAK,cost (needs 104x gross),MICROSTRUCTURE,1s,BTCUSDT 3 venues,T1_MAJOR,T2_LIQUID_ALT,False,51872.0,,10.1,-10.06,-15.11,11.3,-11.26,-16.91,1.95,10.39,UNCHANGED_DEAD,3.9
