symbol,event_id,asset,launch_ts,announcement_ts,announcement_body_present,body_trading_time_present,onboardDate_present,pending_trading_ts_present,trading_ts_present,first_orderbook_ts_present,first_trade_ts_present,first_mark_ts_present,first_index_ts_present,first_oi_ts_present,l2_t0_t6h_present,trades_t0_t6h_present,funding_present,spot_existed_before,other_venue_existed_before,actual_fee_present,capacity_present,coverage_score,coverage_score_after_free,coverage_score_after_free_and_key,bucket,bucket_after_free,missing_p0_fields,missing_p1_fields,backfill_source,action,vision_available,vision_missing,other_venue_first,launch_year
VVVUSDT,4c12d6c81d3645194cab5045,VVV,2025-01-29T08:15:00+00:00,2025-01-29T05:52:20.129000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-28T04:47,2025
B3USDT,07816b67a3eae3aa4efe314e,B3,2025-02-13T11:30:00+00:00,2025-02-13T09:45:10.452000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2025-02-07T15:21,2025
IPUSDT,b314ec3e632f7dbb1c28286c,IP,2025-02-13T17:00:00+00:00,2025-02-13T15:04:51.469000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-02-07T08:29,2025
GPSUSDT,9e036098bc3802c199459a35,GPS,2025-02-17T17:00:00+00:00,2025-02-17T15:08:56.220000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2025-01-15T13:04,2025
BMTUSDT,a877b9f75fd6bd4c38ca74e9,BMT,2025-03-17T13:30:00+00:00,2025-03-17T11:31:00.548000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2025-03-10T06:10,2025
BRUSDT,5f11d51c9603a090e9575f24,BR,2025-03-21T12:45:00+00:00,2025-03-21T10:46:15.638000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2025-03-20T09:23,2025
JELLYJELLYUSDT,2a65ffaad5c0eaf54699e7ff,JELLYJELLY,2025-03-26T16:00:00+00:00,2025-03-26T15:16:10.581000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-30T06:59,2025
WALUSDT,b9f87ac1de1e70c5257f0432,WAL,2025-03-27T15:30:00+00:00,2025-03-27T13:59:43.691000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2025-03-24T14:28,2025
ATHUSDT,43408296c17706df4a86d951,ATH,2025-04-02T15:45:00+00:00,2025-04-02T13:38:07.323000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-06-11T10:00,2025
BABYUSDT,21b9a77d7a9b2edd78dfed6d,BABY,2025-04-05T13:30:00+00:00,2025-04-05T10:24:51.819000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,bybit:futures_listing@2025-04-03T09:47,2025
PROMPTUSDT,15c018b7135b044e02a49b73,PROMPT,2025-04-11T06:30:00+00:00,2025-04-11T04:35:16.906000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-04-10T14:25,2025
XCNUSDT,4e5a0baaefd2c0a105b0deaf,XCN,2025-04-11T15:30:00+00:00,2025-04-11T13:15:13.517000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
INITUSDT,c1986e1b2f5a7b124976006e,INIT,2025-04-16T06:30:00+00:00,2025-04-16T03:16:03.448000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,bybit:futures_listing@2025-04-14T07:30,2025
BANKUSDT,50ffc09f83fd6ca0dca09d81,BANK,2025-04-18T18:30:00+00:00,2025-04-18T17:03:43.178000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,66,69,unusable,partial,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,paid,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,,2025
DEEPUSDT,42c04e023e48f228ac3ef798,DEEP,2025-04-22T08:30:00+00:00,2025-04-22T06:51:29.224000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,76,79,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,bybit:listing@2024-10-10T05:39,2025
MEMEFIUSDT,c7564458f482113c1dd5003a,MEMEFI,2025-04-25T07:15:00+00:00,2025-04-25T05:02:55.191000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,76,79,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,bybit:futures_listing@2024-11-12T07:53,2025
DOLOUSDT,c72a30dd9ceee1d5a3a54cd4,DOLO,2025-05-01T03:00:00+00:00,2025-04-30T10:47:59.248000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,66,69,unusable,partial,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,paid,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,,2025
SXTUSDT,7a8d8a45af279b70fdcddf83,SXT,2025-05-02T08:30:00+00:00,2025-05-02T05:02:09.497000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,66,69,unusable,partial,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,paid,collect,aggTrades;markPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth;indexPriceKlines,,2025
B2USDT,8edc2be39041ef3ca1dac762,B2,2025-05-06T13:30:00+00:00,2025-05-06T09:29:04.451000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,66,69,unusable,partial,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,paid,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,,2025
ZKJUSDT,e76d044fd3d672f736245075,ZKJ,2025-05-13T09:30:00+00:00,2025-05-13T07:34:20.623000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,76,79,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,bybit:futures_listing@2024-06-17T11:36,2025
AGTUSDT,6928291d20158e0e89802202,AGT,2025-05-20T10:30:00+00:00,2025-05-20T08:14:22.110000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
BUSDT,a5e6b9745184ea43b217f98e,BUSDT,2025-05-22T16:30:00+00:00,2025-05-22T14:45:37.118000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
SOONUSDT,13940e90ab91469eb9b664f4,SOON,2025-05-23T08:30:00+00:00,2025-05-23T05:49:46.806000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
MERLUSDT,7325b4ba98bea4bbe1ca4641,MERL,2025-05-29T08:30:00+00:00,2025-05-28T10:33:50.236000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-04-19T02:00,2025
HYPEUSDT,af59f00dfd69336d12ec1c53,HYPE,2025-05-30T10:30:00+00:00,2025-05-30T08:36:40.290000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-12-04T11:25,2025
PUFFERUSDT,08023a4da5978961cbb0404e,PUFFER,2025-06-04T08:30:00+00:00,2025-06-03T09:14:36.886000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-10-14T13:11,2025
1000000BOBUSDT,f0fcaaf1a618875ba94d873f,1000000BOB,2025-06-05T08:30:00+00:00,2025-06-04T10:47:44.967000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
LAUSDT,67e2964924cdb0798db5f65b,LA,2025-06-05T09:00:00+00:00,2025-06-05T06:06:29.514000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-06-05T06:02,2025
TAIKOUSDT,46bb94c3367a45d68af8fa6c,TAIKO,2025-06-11T12:30:00+00:00,2025-06-11T10:15:20.919000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-05-29T10:00,2025
MYXUSDT,8bd8e43b5c14441cddf6f1c6,MYX,2025-06-18T12:30:00+00:00,2025-06-18T09:51:01.749000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
NEWTUSDT,f7b0c338e560be7ce661550d,NEWT,2025-06-19T14:30:00+00:00,2025-06-19T11:01:36.672000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,,2025
OLUSDT,328be11039a0daaa62c9402d,OL,2025-06-25T11:30:00+00:00,2025-06-25T09:30:41.537000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-11-18T05:21,2025
BULLAUSDT,082d13846fce53f88460dd42,BULLA,2025-07-04T09:00:00+00:00,2025-07-04T07:11:27.864000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
MUSDT,8e2b353b5b359cd0f03050b7,MUSDT,2025-07-07T09:30:00+00:00,2025-07-07T07:30:13.952000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
CROSSUSDT,e1946a92d433af36002d432b,CROSS,2025-07-10T10:30:00+00:00,2025-07-10T07:18:06.205000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
VELVETUSDT,9fd6bbd5031f385d60646936,VELVET,2025-07-15T09:15:00+00:00,2025-07-15T06:42:17.837000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
ZORAUSDT,d6e5c362b920f0f1eeebe797,ZORA,2025-07-25T11:00:00+00:00,2025-07-25T09:45:38.982000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-04-25T11:04,2025
ZRCUSDT,53d80c0d3c0486a54c69473e,ZRC,2025-07-29T09:45:00+00:00,2025-07-29T07:46:40.881000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-11-22T05:45,2025
YALAUSDT,6cc0825d4097ef67aec30426,YALA,2025-08-07T16:30:00+00:00,2025-08-07T14:57:10.733000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
AIOUSDT,d434dc6ba47a473e1c50859d,AIO,2025-08-13T11:30:00+00:00,2025-08-13T09:40:48.874000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
USELESSUSDT,eb9dec0bc5cac2d2255f22ad,USELESS,2025-08-15T12:15:00+00:00,2025-08-15T10:46:53.989000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-07-10T11:26,2025
CUDISUSDT,3ab4b81b6217c55a265126f3,CUDIS,2025-08-20T11:15:00+00:00,2025-08-20T09:48:17.734000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-06-12T08:47,2025
XPLUSDT,ad7fac75381979219a635a4c,XPL,2025-08-22T09:30:00+00:00,2025-08-22T08:30:03.071000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,,2025
SOMIUSDT,248014c02180967fd21952b9,SOMI,2025-08-25T09:30:00+00:00,2025-08-25T09:15:19.791000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,,2025
BASUSDT,35baa8d370bba89af695913f,BAS,2025-08-26T13:30:00+00:00,2025-08-26T12:12:49.262000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
LINEAUSDT,87d2cc62a3d3cc1511a49aa7,LINEA,2025-09-01T08:30:00+00:00,2025-09-01T08:15:03.712000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;premiumIndexKlines;metrics;fundingRate,indexPriceKlines,,2025
ARIAUSDT,0e15ffddde62fa7a295cbb6d,ARIA,2025-09-03T11:00:00+00:00,2025-09-03T09:49:50.539000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2025
